[10-Feb-2015 10:31:38 America/Sao_Paulo] PHP Fatal error:  Call to undefined method SubCategoria::getImagens() in /var/www/sistemas/siganet/medsy/admin/classes/commands/AdmSubCategoria.php on line 32
[25-Feb-2015 11:05:10 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:11 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:20 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:21 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:08:07 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:08:44 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:29:33 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Texto' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/TextoORM.php on line 109
[25-Feb-2015 11:31:27 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:32:00 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::setAtivo() in /var/www/sistemas/siganet/daniel/repretec/admin/classes/commands/AdmTexto.php on line 52
[25-Feb-2015 11:34:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:39:19 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:39:24 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::setIdioma() in /var/www/sistemas/siganet/daniel/repretec/admin/classes/commands/AdmTexto.php on line 60
[25-Feb-2015 11:40:02 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::getIdiomaObj() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 85
[25-Feb-2015 11:40:34 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::getMenu() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 86
[25-Feb-2015 11:40:42 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:40:57 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:40:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:40:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:41:13 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:43:31 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:43:47 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:12 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:17 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:52 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:54 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 58
[25-Feb-2015 11:46:22 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:48:37 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:49:09 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:50:04 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:50:19 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:50:35 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:51:28 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:51:52 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:52:04 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:53:24 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:53:43 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:54:31 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:54:34 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
